OID_,Join_Count,FloodDistM,TARGET_FID,DEVELOPMEN,LATITUDE,LONGITUDE,STATE_NAME,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,GFID,Shape_Leng,Shape_Area,FldZone_YN,TRACT_2010,TRACT_2020,BLOCK_2010,BLOCK_2020
11,1,8735.476729,11,PA002000132,40.040464,-75.145217,PA,34007C,1.1.1.0,34007C_780,NP,AE, ,T,11.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,34007C_STUDY7,70a00d97-1cbf-40b1-aa86-1268ca5f66c6,0.012956374,2.36397e-06,No,42101027800.0,42101027800.0,421010278003001.0,421010278003001.0
12,1,6672.306445,12,PA002000100,39.995314,-75.188564,PA,34007C,1.1.1.0,34007C_1144,NP,AE, ,T,10.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,34007C_STUDY7,70a00d97-1cbf-40b1-aa86-1268ca5f66c6,0.003167538,6.5776e-07,No,42101980001.0,42101980001.0,421019800011000.0,421019800011000.0
13,1,20388.71648,13,OH005000001,39.769013,-84.205466,OH,39023C,1.1.1.0,39023C_456,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,39023C_STUDY1, ,0.037016186,1.29023e-05,No,39113165200.0,39113165200.0,391131652002022.0,391131652002022.0
14,1,13912.64852,14,GA006000771,33.767972,-84.393049,GA,13063C,2.3.2.1,13063C_2416,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999,F,13063C_STUDY1,5ff78f1b-0a81-4173-b34e-4b21393489fc,0.050568077,1.10753e-05,No,13121002100.0,13121002100.0,131210021002000.0,131210021002000.0
15,1,23163.34131,15,OH005000007,39.744055,-84.224989,OH,39023C,1.1.1.0,39023C_456,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,39023C_STUDY1, ,0.037016186,1.29023e-05,No,39113004100.0,39113004100.0,391130041001021.0,391130041001021.0
16,1,284.9094239,16,LA034000001,29.978578,-92.12316,LA,22113C,1.1.1.0,22113C_3177,NP,AE, ,T,-9999.0,NP,-9999, ,-9999, , , ,-9999,-9999, ,22113C_STUDY1, ,0.034044679,4.78551e-05,No,22113950800.0,22113950800.0,221139508003001.0,221139508003001.0
17,1,149587.4045,17,TX408000001,31.591181,-102.892801,TX,48227C,1.1.1.0,48227C_598,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,48227C_STUDY2, ,0.000864708,2.055e-08,No,48475950300.0,48475950300.0,484759503001056.0,484759503001056.0
18,1,5277.608067,18,MS005000015,30.394729,-88.922941,MS,28059C,1.1.1.0,28059C_480,NP,AE, ,T,19.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,28059C_STUDY1,80996f13-99f4-4826-a737-86b261605b10,0.004753512,8.9773e-07,No,28047000600.0,28047000600.0,280470006002017.0,280470006002017.0
19,1,218210.0855,19,RQ005001021,18.4842,-67.0179,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72071410500.0,72071410500.0,720714105004003.0,720714105004003.0
20,1,104731.3907,20,RQ005005014,18.3985,-65.9857,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72031050302.0,72031050302.0,720310503021013.0,720310503021013.0
21,1,196642.2293,21,RQ005002016,18.4859,-66.8207,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72065310200.0,72065310200.0,720653102001004.0,720653102001004.0
22,1,109076.1529,22,RQ005010037,18.3995,-66.0253,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72127005103.0,72127005103.0,721270051033002.0,721270051033002.0
23,1,110185.1734,23,RQ005010057,18.4181,-66.0346,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72127004700.0,72127004700.0,721270047001002.0,721270047001002.0
24,1,209985.7633,24,RQ005009003,17.9748,-66.9057,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72055961300.0,72055961300.0,720559613001001.0,720559613001001.0
25,1,104548.3346,25,RQ005005015,18.3646,-65.9847,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72031050504.0,72031050504.0,720310505043004.0,720310505043004.0
26,1,209985.7633,26,RQ005009004,17.9748,-66.9057,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72055961300.0,72055961300.0,720559613001001.0,720559613001001.0
27,1,142190.307,27,RQ005002028,18.412738,-66.326938,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72143550400.0,72143550400.0,721435504002012.0,721435504002012.0
28,1,214865.9118,28,RQ005001018,18.339084,-66.989742,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72131009200.0,72131009200.0,721310092002007.0,721310092002007.0
29,1,179105.7798,29,RQ005009025,17.9933,-66.6227,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72113071601.0,72113071601.0,721130716011006.0,721130716011006.0
30,1,115493.5522,30,RQ005010029,18.448076,-66.081171,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72127004200.0,72127004200.0,721270042002021.0,721270042002021.0
31,1,233307.7883,31,RQ005008022,18.1799,-67.1492,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72097082103.0,72097082103.0,720970821031002.0,720970821031002.0
32,1,216400.8927,32,RQ005001019,18.3431,-67.0038,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72131958900.0,72131958900.0,721319589002007.0,721319589002007.0
33,1,171865.4693,33,RQ005009007,18.2199,-66.5914,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72073956305.0,72073956305.0,720739563051015.0,720739563051015.0
34,1,117757.8371,34,RQ005010060,18.463287,-66.100639,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72127000600.0,72127000600.0,721270006001000.0,721270006001000.0
35,1,109441.7331,35,RQ005010042,18.408782,-66.028265,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72127005000.0,72127005000.0,721270050003001.0,721270050003001.0
36,1,150157.9565,36,RQ005002031,18.4476,-66.3981,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72145560300.0,72145560300.0,721455603003006.0,721455603003006.0
37,1,215033.1777,37,RQ005008005,18.2618,-66.9884,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72083959800.0,72083959800.0,720839598001008.0,720839598001008.0
38,1,118320.5722,38,RQ005004001,18.2571,-66.1053,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72007230300.0,72007230300.0,720072303001016.0,720072303001016.0
39,1,232558.4742,39,RQ005008016,18.2042,-67.1444,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72097080600.0,72097080600.0,720970806003007.0,720970806003007.0
40,1,101630.6211,40,RQ005005012,18.3988,-65.9574,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72031050812.0,72031050812.0,720310508121005.0,720310508121005.0
41,1,50461.93232,41,RQ005005030,18.1519,-65.4466,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72147950600.0,72147950600.0,721479506003016.0,721479506003016.0
42,1,158781.6845,42,RQ005002013,18.2869,-66.4768,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72039955800.0,72039955800.0,720399558003002.0,720399558003002.0
43,1,117454.1117,43,RQ005010002,18.4628,-66.0979,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72127000600.0,72127000600.0,721270006001001.0,721270006001001.0
44,1,235777.7185,44,RQ005001003,18.3802,-67.1807,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72003430200.0,72003430200.0,720034302003011.0,720034302003011.0
45,1,125131.0372,45,RQ005006010,18.1644,-66.1558,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72041240500.0,72041240500.0,720412405001007.0,720412405001007.0
46,1,140947.8461,46,RQ005006002,18.183394,-66.304191,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72019952400.0,72019952400.0,720199524001011.0,720199524001011.0
47,1,107773.7237,47,RQ005010035,18.393167,-66.013628,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72127005405.0,72127005405.0,721270054052000.0,721270054052000.0
48,1,186401.3361,48,RQ005009001,18.1719,-66.7195,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72001956600.0,72001956600.0,720019566001000.0,720019566001000.0
49,1,174325.9141,49,RQ005009031,18.0421,-66.5885,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72113072703.0,72113072703.0,721130727034014.0,721130727034014.0
50,1,156020.5095,50,RQ005006033,17.9686,-66.4004,PR,780000,1.1.1.0,780000_607,NP,AE, ,T,16.0,LOCAL TIDAL DATUM,-9999,Feet,-9999, , , ,-9999,-9999, ,780000_FIS2,c4d2dc2f-44fb-4578-8aaf-b595d5af4abb,0.004952141,2.149e-07,No,72133953700.0,72133953700.0,721339537002007.0,721339537002007.0
51,1,3487.424076,51,AR102000001,35.433794,-93.681571,AR,05083C,1.1.1.0,05083C_2867,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,05083C_STUDY1,20110602,2.273373549,0.006881207,No,5071951800.0,5071951800.0,50719518002070.0,50719518002070.0
52,1,173501.1749,52,FL005000847,25.566952,-80.374542,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086010501.0,12086010501.0,120860105014001.0,120860105014001.0
53,1,147377.9754,53,FL005000049,25.842811,-80.236319,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086001004.0,12086001004.0,120860010045008.0,120860010045008.0
54,1,151764.444,54,FL005000838,25.80394,-80.225874,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086002404.0,12086002404.0,120860024042002.0,120860024042002.0
55,1,153822.4047,55,FL005000853,25.789459,-80.208069,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086003001.0,12086003001.0,120860030011013.0,120860030011013.0
56,1,155355.02,56,FL005000832,25.776995,-80.200621,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086003606.0,12086003606.0,120860036061026.0,120860036061026.0
57,1,149472.2529,57,FL005000817,25.823341,-80.234506,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086001803.0,12086001803.0,120860018031000.0,120860018031000.0
58,1,153460.4984,58,FL005000833,25.792951,-80.207974,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086003001.0,12086003001.0,120860030011004.0,120860030011004.0
59,1,149435.5806,59,FL005000822,25.823924,-80.233692,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086001803.0,12086001803.0,120860018031000.0,120860018031000.0
60,1,74977.45269,60,FL080000006,26.668994,-80.117205,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12099003902.0,12099003902.0,120990039021003.0,120990039021003.0
61,1,151788.8317,61,FL005000837,25.803128,-80.227895,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086002404.0,12086002404.0,120860024043005.0,120860024043005.0
62,1,149460.8882,62,FL005000824,25.823943,-80.232784,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086001803.0,12086001803.0,120860018031000.0,120860018031000.0
63,1,136991.9008,63,FL005000826,25.926379,-80.291096,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086010018.0,12086010018.0,120860100182015.0,120860100182015.0
64,1,149187.6762,64,FL005000821,25.83842,-80.193461,FL,12093C,1.1.1.0,553,NP,AE, ,T,17.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,STUDY1,20150709,0.394260979,0.000317505,No,12086002001.0,12086002001.0,120860020011009.0,120860020011009.0
65,1,275.6243414,65,NJ049000003,39.440398,-75.228764,NJ,34011C,1.1.1.0,34011C_2198,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,34011C_STUDY3,ae3d2556-0f92-401c-87d1-0fdc14b9357d,0.007774365,1.20154e-06,No,34011020301.0,34011020301.0,340110203011000.0,340110203011000.0
66,1,8804.663673,66,OK073000017,36.082268,-96.037351,OK,40113C,1.1.1.0,40113C_850,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,40113C_FIRM1,1215f184-0fef-4943-9320-03c0f20c0879,0.010559604,2.65531e-06,No,40143006701.0,40143006701.0,401430067012049.0,401430067012049.0
67,1,2487.599828,67,OK073000019,36.181844,-95.97448,OK,40113C,1.1.1.0,40113C_1007,NP,AE, ,T,707.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,40113C_LOMC1,1215f184-0fef-4943-9320-03c0f20c0879,0.019590275,6.97214e-06,No,40143000500.0,40143000500.0,401430005002008.0,401430005002008.0
68,1,70290.36134,68,TX018000022,33.545155,-101.913533,TX,48189C,1.1.1.0,48189C_3187,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,48189C_STUDY1, ,0.148300729,0.000117801,No,48303001807.0,48303001807.0,483030018071007.0,483030018071007.0
69,1,4907.16896,69,TX023000015,30.11574,-94.113146,TX,48199C,1.1.1.0,48199C_133,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,48199C_FIRM1, ,0.216714613,0.000815205,No,48245000700.0,48245000700.0,482450007002009.0,482450007002009.0
70,1,4647.245375,70,TX023000016,30.123143,-94.139089,TX,48199C,1.1.1.0,48199C_133,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,48199C_FIRM1, ,0.216714613,0.000815205,No,48245000500.0,48245000500.0,482450005001000.0,482450005001000.0
71,1,111889.2831,71,TX003000012,31.91834,-106.41097,TX,35029C,1.1.1.0,35029C_1170,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,35029C_FIRM1, ,0.395413439,0.002550523,No,48141000107.0,48141000107.0,481410001073003.0,481410001073003.0
72,1,68988.62714,72,TX018000021,33.547171,-101.849719,TX,48189C,1.1.1.0,48189C_3187,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,48189C_STUDY1, ,0.148300729,0.000117801,No,48303002401.0,48303002401.0,483030024011011.0,483030024011011.0
73,1,65613.68412,73,TX073000006,26.202297,-98.19191,TX,48489C,1.1.1.0,48489C_194,NP,AE, ,T,8.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,48489C_STUDY1,c13a0285-5620-4a56-93df-c237815e205f,0.407826776,0.000512745,No,48215021600.0,48215021600.0,482150216003010.0,482150216003010.0
74,1,53847.02418,74,TX240000001,34.156095,-99.301734,TX,40065C,1.1.1.0,40065C_330,NP,AE,FLOODWAY,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,40065C_STUDY1,20120403,0.233116039,8.12404e-05,No,48487950500.0,48487950500.0,484879505003022.0,484879505003022.0
75,1,65989.94709,75,TX073000003,26.195294,-98.192448,TX,48489C,1.1.1.0,48489C_194,NP,AE, ,T,8.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,48489C_STUDY1,c13a0285-5620-4a56-93df-c237815e205f,0.407826776,0.000512745,No,48215021401.0,48215021401.0,482150214015003.0,482150214015003.0
76,1,92626.20561,76,TX439000001,31.995391,-106.596351,TX,35029C,1.1.1.0,35029C_1170,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,35029C_FIRM1, ,0.395413439,0.002550523,No,48141010203.0,48141010203.0,481410102032062.0,481410102032062.0
77,1,65009.71835,77,TX073000007,26.203121,-98.185719,TX,48489C,1.1.1.0,48489C_194,NP,AE, ,T,8.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,48489C_STUDY1,c13a0285-5620-4a56-93df-c237815e205f,0.407826776,0.000512745,No,48215021600.0,48215021600.0,482150216003000.0,482150216003000.0
