OID_,INSPECTION,DEVELOPMEN,DEVELOPM_1,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAM,COUNTY_COD,STATE_NAME,STATE_CODE,ZIPCODE,LATITUDE,LONGITUDE,LOCATION_Q,PHA_CODE,PHA_NAME,INSPECTI_1,INSPECTI_2,NEAR_FID,NEAR_DIST
10,667416,WI002000062,RIVERVIEW,1300 E Kane Pl,Milwaukee,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",33340,Milwaukee,79,WI,55,53202,43.056234000000003,-87.894352999999995,R,WI002,Housing Authority of the City of Milwaukee,82,3/13/2020 0:00:00,567849,0.001009753458250
11,667414,WI003000500,Truax Park Apartments LLC,1503 Wright St,Madison,"Madison, WI Metropolitan Statistical Area",31540,Dane,25,WI,55,53704,43.116576999999999,-89.330353000000002,R,WI003,Madison Community Development Authority,73,2/12/2020 0:00:00,467348,0.001789424978360
12,667413,WV037000001,MAGNOLIA GARDENS,"Rt. 9, Red Jacket Road",North Matewan, ,99999,Mingo,59,WV,54,25688,37.590000000000003,-82.033299999999997,T,WV037,Housing Authority of Mingo County,90,3/3/2020 0:00:00,159968,0.042111414948400
13,667412,WI064000007,Beloit Apts. Phase 2 - Scattered Sites,1149 11th St,Beloit,"Janesville-Beloit, WI Metropolitan Statistical Area",27500,Rock,105,WI,55,53511,42.511642000000002,-89.050072000000000,R,WI064,Beloit Housing Authority,85,2/28/2020 0:00:00,118660,0.011132424061000
14,667410,VA011000202,LINCOLN TERRACE,1734 Dunbar St NW,Roanoke,"Roanoke, VA Metropolitan Statistical Area",40220,Roanoke City,770,VA,51,24012,37.287303000000001,-79.940987000000007,R,VA011,Roanoke Redevelopment & Housing Authority,82,2/20/2020 0:00:00,407898,0.003720033841500
15,667406,PA048000001,BURRELL TWNSHP,117 Washington St Apt 1,Saltsburg,"Indiana, PA Micropolitan Statistical Area",26860,Indiana,63,PA,42,15681,40.486319000000002,-79.452578000000003,R,PA048,HOUSING AUTHORITY OF INDIANA COUNTY,91,2/13/2020 0:00:00,308888,0.043875160109600
16,667403,WI002000015,LOCUST COURT,1350 E Locust St,Milwaukee,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",33340,Milwaukee,79,WI,55,53212,43.071252999999999,-87.894259000000005,R,WI002,Housing Authority of the City of Milwaukee,56,3/5/2020 0:00:00,567649,0.000243344733057
17,667402,WI064000004,Beloit Apts. Redevelopment Phase 1,1021 Ritsher St,Beloit,"Janesville-Beloit, WI Metropolitan Statistical Area",27500,Rock,105,WI,55,53511,42.509456999999998,-89.063607000000005,R,WI064,Beloit Housing Authority,81,2/26/2020 0:00:00,429627,0.024001864062300
18,667398,WI002000010,MILWAUKEE,4172 N 46th St,Milwaukee,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",33340,Milwaukee,79,WI,55,53216,43.093141000000003,-87.970842000000005,R,WI002,Housing Authority of the City of Milwaukee,37,3/2/2020 0:00:00,567744,0.003855791753990
19,667397,OH012000003,WILKES-VILLA,310 East Ave,Elyria,"Cleveland-Elyria, OH Metropolitan Statistical Area",17460,Lorain,93,OH,39,44035,41.364941000000002,-82.103770999999995,R,OH012,Lorain Metropolitan Housing Authority,63,2/20/2020 0:00:00,540199,0.000334246628752
20,667395,WA002000450,Mardi Gras II,24009 104th Ave SE,Kent,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98030,47.386715000000002,-122.202473999999995,R,WA002,HA OF  KING COUNTY,80,1/31/2020 0:00:00,600638,0.019506149601600
21,667392,WI031000001,Scattered Sites,1901 Bopf St,Wausau,"Wausau-Weston, WI Metropolitan Statistical Area",48140,Marathon,73,WI,55,54401,44.946613999999997,-89.658716999999996,R,WI031,Wausau Community Development Authority,92,2/20/2020 0:00:00,154890,0.000829589796363
22,667391,WI002000013,ARLINGTON COURT,1633 N Arlington Pl,Milwaukee,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",33340,Milwaukee,79,WI,55,53202,43.051955999999997,-87.895703999999995,R,WI002,Housing Authority of the City of Milwaukee,63,3/4/2020 0:00:00,566792,0.004867032059550
23,667388,WA025456715,TEXAS MEADOWS,2620 King St,Bellingham,"Bellingham, WA Metropolitan Statistical Area",13380,Whatcom,73,WA,53,98225,48.764901999999999,-122.463247999999993,R,WA025,Housing Authority City of Bellingham,93,3/4/2020 0:00:00,449692,0.008040541636100
24,667382,WA002000390,Burien Park Apartments,500 SW 148th St,Burien,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98166,47.470590000000001,-122.340438000000006,R,WA002,HA OF  KING COUNTY,99,1/31/2020 0:00:00,599431,0.013720052666700
25,667381,WI002000011,COLLEGE COURT,3334 W Highland Blvd,Milwaukee,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",33340,Milwaukee,79,WI,55,53208,43.044795999999998,-87.956196000000006,R,WI002,Housing Authority of the City of Milwaukee,38,3/3/2020 0:00:00,567054,0.009501885711310
26,667380,WA001000083,HIGH POINT PHASE I,6025 Lanham Pl SW,Seattle,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98126,47.547201999999999,-122.373650999999995,R,WA001,Seattle Housing Authority,85,2/18/2020 0:00:00,599878,0.008719627342500
27,667377,WA001000071,DENICE HUNT TOWNHOMES,8513 Fremont Ave N,Seattle,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98103,47.690711000000000,-122.350139999999996,R,WA001,Seattle Housing Authority,63,2/12/2020 0:00:00,600242,0.029944806118000
28,667374,WA054000002,PIERCE COUNTY HSG AUTH,6712 41st Street Ct NW,Gig Harbor,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,Pierce,53,WA,53,98335,47.295150999999997,-122.628713000000005,R,WA054,HA Of Pierce County,95,2/5/2020 0:00:00,578898,0.005822756976070
29,667373,VA020000103,PIN OAKS,3 Cypress Ct,Petersburg,"Richmond, VA Metropolitan Statistical Area",40060,Petersburg,730,VA,51,23803,37.233378000000002,-77.374699000000007,R,VA020,Petersburg Redevelopment & Housing Authority,65,2/13/2020 0:00:00,56328,0.000551688949647
30,667370,WA002000354,RIVERTON TERRACE,18265 1st Ave S,Normandy Park,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98148,47.438690999999999,-122.335070999999999,R,WA002,HA OF  KING COUNTY,93,2/10/2020 0:00:00,599431,0.013522277972400
31,667369,WA001000031,TRI-COURT,718 N 143rd St,Seattle,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98133,47.732446000000003,-122.350018000000006,R,WA001,Seattle Housing Authority,77,2/11/2020 0:00:00,598979,0.019338443702200
32,667368,WA025000001,LINCOLN SQUARE,409 York St,Bellingham,"Bellingham, WA Metropolitan Statistical Area",13380,Whatcom,73,WA,53,98225,48.750787000000003,-122.469981000000004,R,WA025,Housing Authority City of Bellingham,90,2/26/2020 0:00:00,449672,0.000522242034902
33,667365,WA001000090,Rainier Vista Phase III,4420 31st Ave S,Seattle,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98108,47.564098000000001,-122.293248000000006,R,WA001,Seattle Housing Authority,82,3/3/2020 0:00:00,600657,0.037020686517500
34,667364,WA054000001,PIERCE COUNTY HSG AUTH,4919 255th Street Ct E,Graham,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,Pierce,53,WA,53,98338,47.024749999999997,-122.364099999999993,R,WA054,HA Of Pierce County,73,2/26/2020 0:00:00,578886,0.055351448391600
35,667362,WA001000015,BELL TOWER,2215 1st Ave,Seattle,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98121,47.612580999999999,-122.345566000000005,R,WA001,Seattle Housing Authority,86,2/10/2020 0:00:00,600008,0.009979597645550
36,667360,VA020000101,PECAN ACRES,501 Pecan St,Petersburg,"Richmond, VA Metropolitan Statistical Area",40060,Petersburg,730,VA,51,23803,37.215682000000001,-77.426185000000004,R,VA020,Petersburg Redevelopment & Housing Authority,70,2/12/2020 0:00:00,56353,0.000303017344268
37,667359,WA001000079,NEW HOLLY PHASE III,3815 S Othello St,Seattle,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98118,47.536862999999997,-122.284311000000002,R,WA001,Seattle Housing Authority,86,2/27/2020 0:00:00,599735,0.024624023205200
38,667358,WA002000210,Kirkland Place,421 7th Ave,Kirkland,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98033,47.680342000000003,-122.200770000000006,R,WA002,HA OF  KING COUNTY,90,2/5/2020 0:00:00,600187,0.015533526433000
39,667353,WA001000076,NEW HOLLY PHASE II,7181 38th Ave S,Seattle,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98118,47.538170000000001,-122.284930000000003,R,WA001,Seattle Housing Authority,79,2/10/2020 0:00:00,599735,0.025123002913500
40,667350,VA017000005,Old Point Homes,26 Godspeed Way,Hampton,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",47260,Hampton,650,VA,51,23663,37.031638999999998,-76.323201999999995,R,VA017,Hampton Redevelopment & Housing Authority,99,2/5/2020 0:00:00,376441,0.003102893735920
41,667349,WA002000452,Vantage Point,17901 105th Pl SE,Renton,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98055,47.451700000000002,-122.200100000000006,B,WA002,HA OF  KING COUNTY,94,2/20/2020 0:00:00,599470,0.018196760562800
42,667347,WA002000101,BALLINGER HOMES,19926 Ballinger Way NE,Shoreline,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98155,47.773437999999999,-122.307365000000004,R,WA002,HA OF  KING COUNTY,89,2/14/2020 0:00:00,600474,0.017939413717300
43,667342,VA010000002,CEDAR TERRACE,628 Holbrook St,Danville,"Danville, VA Micropolitan Statistical Area",19260,Danville,590,VA,51,24541,36.590527000000002,-79.405510000000007,R,VA010,Danville Redevelopment & Housing Authority,55,2/26/2020 0:00:00,89794,0.002219498839360
44,667341,WA001000073,NEW HOLLY PHASE I,3001 S Holly St,Seattle,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98108,47.542453999999999,-122.294769000000002,R,WA001,Seattle Housing Authority,65,2/24/2020 0:00:00,600654,0.021100016957200
45,667338,WA001000038,CEDARVALE VILLAGE,11219 Roosevelt Way NE,Seattle,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98125,47.710602999999999,-122.317772000000005,R,WA001,Seattle Housing Authority,81,3/2/2020 0:00:00,600250,0.003612649637750
46,667335,WA001000085,HIGH POINT PHASE II,6437 30th Ave SW,Seattle,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,King,33,WA,53,98126,47.545262999999998,-122.370474000000002,R,WA001,Seattle Housing Authority,82,2/25/2020 0:00:00,599850,0.005862597441630
47,667334,VA010000005,SEELAND CROSSING PHASE I-III,103 Seeland Rd Apt,Danville,"Danville, VA Micropolitan Statistical Area",19260,Danville,590,VA,51,24541,36.568879000000003,-79.389189000000002,4,VA010,Danville Redevelopment & Housing Authority,91,2/27/2020 0:00:00,89411,0.004782759891170
48,667333,TX009000009,Park Manor,3333 Edgewood St,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75215,32.762915000000000,-96.770717000000005,R,TX009,"Housing Authority of the City of Dallas, Texa",67,2/18/2020 0:00:00,639654,0.008549136166350
49,667332,VA010000001,CARDINAL VILLAGE,667 Cardinal Pl,Danville,"Danville, VA Micropolitan Statistical Area",19260,Danville,590,VA,51,24541,36.565618000000001,-79.413009000000002,R,VA010,Danville Redevelopment & Housing Authority,61,2/27/2020 0:00:00,89212,0.008778809335420
50,667331,TX281000001,GRANGER HOUSING AUTHORITY,500 N Commerce St Apt 1,Granger,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",12420,Williamson,491,TX,48,76530,30.721982000000001,-97.442316000000005,R,TX281,Granger Housing Authority,83,2/24/2020 0:00:00,633750,0.001557787255700
51,667328,VA004000006,Chatham Square,427 Cook St,Alexandria,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",47900,Alexandria,510,VA,51,22314,38.809578000000002,-77.042574999999999,R,VA004,Alexandria Redevelopment & Housing Authority,84,3/10/2020 0:00:00,392390,0.002673487831000
52,667326,TX183000001,UNNAMED,409 SE 5th St,Tulia, ,99999,Swisher,437,TX,48,79088,34.532204000000000,-101.758797000000001,R,TX183,Housing Authority of Tulia,72,2/11/2020 0:00:00,38373,0.298511630557000
53,667325,TX009000018,Buckeye II,6675 Wells St,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75215,32.738318999999997,-96.755736999999996,R,TX009,"Housing Authority of the City of Dallas, Texa",95,2/20/2020 0:00:00,640861,0.001599834852150
54,667324,VA010000004,INGRAM HEIGHTS,137 New Ingram Rd,Danville,"Danville, VA Micropolitan Statistical Area",19260,Danville,590,VA,51,24541,36.585932999999997,-79.453136000000001,R,VA010,Danville Redevelopment & Housing Authority,82,2/26/2020 0:00:00,88614,0.006496552654920
55,667323,TX009000008,Hamptons at Lakewest,2425 Bickers St,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75212,32.786926000000001,-96.860513999999995,R,TX009,"Housing Authority of the City of Dallas, Texa",92,2/10/2020 0:00:00,639115,0.005841379363160
56,667322,TX009000001,"ROSELAND TOWNHOMES, PHASE I",2110 N Carroll Ave,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75204,32.805408999999997,-96.783201000000005,R,TX009,"Housing Authority of the City of Dallas, Texa",63,2/10/2020 0:00:00,640160,0.017034799776200
57,667320,TX105000003,unnamed,901 Hardy Dr,Crystal City, ,99999,Zavala,507,TX,48,78839,28.682070000000000,-99.820811000000006,R,TX105,Crystal City Housing Authority,69,2/26/2020 0:00:00,38096,0.499222086726000
58,667318,TX277000001,UNNAMED,509 E 3rd St,Hale Center,"Plainview, TX Micropolitan Statistical Area",38380,Hale,189,TX,48,79041,34.060175000000001,-101.838663999999994,4,TX277,Housing Authority of Hale Center,91,2/13/2020 0:00:00,38616,0.137210680220000
59,667315,VA010000003,PLEASANT VIEW,103 Pleasant View Ave,Danville,"Danville, VA Micropolitan Statistical Area",19260,Danville,590,VA,51,24541,36.588543999999999,-79.425168999999997,R,VA010,Danville Redevelopment & Housing Authority,70,2/27/2020 0:00:00,88948,0.000975850333879
60,667314,TX009000016,Scattered Sites,2008 Conner Dr,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75217,32.744667000000000,-96.680631000000005,R,TX009,"Housing Authority of the City of Dallas, Texa",91,2/3/2020 0:00:00,638555,0.006818651567890
61,667312,TX005000015,OXFORD PLACE,605 Berry Rd,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77022,29.837736000000000,-95.368143000000003,R,TX005,Houston Housing Authority,95,3/2/2020 0:00:00,730359,0.014140090649900
62,667310,TX269000001,UNNAMED,709/711 Fifth Street,Goldthwaite, ,99999,Mills,333,TX,48,76844,31.386800000000001,-98.585300000000004,T,TX269,Housing Authority of Goldthwaite,95,2/28/2020 0:00:00,384473,0.385915268717000
63,667309,TX009000005,Brackins Village,MONAGHANS CT,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75203,32.751899999999999,-96.800700000000006,T,TX009,"Housing Authority of the City of Dallas, Texa",92,2/19/2020 0:00:00,639161,0.000233494377638
64,667307,UT020000001,TOOELE COUNTY,782 W 770 S,Tooele,"Salt Lake City, UT Metropolitan Statistical Area",41620,Tooele,45,UT,49,84074,40.516956999999998,-112.317695000000001,R,UT020,Tooele County Housing Authority,80,1/28/2020 0:00:00,101220,0.001232637502570
65,667305,TX009000015,Hidden Ridge,9702 W Ferris Branch Blvd Apt 551,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75243,32.903379999999999,-96.724984000000006,R,TX009,"Housing Authority of the City of Dallas, Texa",95,2/13/2020 0:00:00,639902,0.001946820969800
66,667303,TX005000011,Fulton Village Apartments,3300 Elser St Apt 1101,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77009,29.791412999999999,-95.357853000000006,R,TX005,Houston Housing Authority,72,2/13/2020 0:00:00,733767,0.003857772805530
67,667300,TX009000014,FRANKFORD TOWNHOMES,6907 Pebble Beach Dr,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Collin,85,TX,48,75252,33.005761999999997,-96.783107000000001,R,TX009,"Housing Authority of the City of Dallas, Texa",80,3/12/2020 0:00:00,751371,0.000538880250893
68,667299,TX252000336,UNNAMED,102 S 3rd St,Lott,"Waco, TX Metropolitan Statistical Area",47380,Falls,145,TX,48,76656,31.205973000000000,-97.033839000000000,R,TX252,Housing Authority of Lott,86,2/7/2020 0:00:00,631163,0.182004332316000
69,667298,TX105000001,Ninfa Moncada Courts,1600 N 7th Ave,Crystal City, ,99999,Zavala,507,TX,48,78839,28.693546000000001,-99.825894000000005,R,TX105,Crystal City Housing Authority,71,2/26/2020 0:00:00,38096,0.487958284937000
70,667297,TX009000003,Cedar Springs Place,2533 Lucas Dr,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75219,32.813245000000002,-96.821026000000003,R,TX009,"Housing Authority of the City of Dallas, Texa",72,2/6/2020 0:00:00,637576,0.004695475905160
71,667296,TX326000021,PAUL F. GUSTWICK SITE,704 Forrest St,Yoakum, ,99999,Dewitt,123,TX,48,77995,29.288024000000000,-97.153388000000007,R,TX326,Yoakum Housing Authority,88,3/2/2020 0:00:00,38327,0.224860411098000
72,667294,TX004000019,Sycamore Center Villas,7928 Joshua Dr,Fort Worth,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Tarrant,439,TX,48,76134,32.634458000000002,-97.351536999999993,R,TX004,Housing Authority of Fort Worth,79,2/10/2020 0:00:00,672242,0.002274989802080
73,667293,TX004000002,BUTLER PLACE APARTMENTS,1202 Luella St,Fort Worth,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Tarrant,439,TX,48,76102,32.750863000000003,-97.318168000000000,R,TX004,Housing Authority of Fort Worth,66,2/19/2020 0:00:00,671674,0.004211415883300
74,667292,TX009000012,Audelia Manor,10025 Shoreview Rd,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75238,32.866010000000003,-96.713352000000000,R,TX009,"Housing Authority of the City of Dallas, Texa",95,1/30/2020 0:00:00,638484,0.003418447244330
75,667290,TX009000002,Little Mexico Village,Harry Hines Blvd,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75201,32.784199999999998,-96.801100000000005,T,TX009,"Housing Authority of the City of Dallas, Texa",78,2/25/2020 0:00:00,637874,0.015792635378500
76,667288,TX190000001,UNNAMED,N. St. Theresa,Stanton,"Midland, TX Metropolitan Statistical Area",33260,Midland,329,TX,48,79782,31.869000000000000,-101.908500000000004,T,TX190,Housing Authority of Stanton,81,2/12/2020 0:00:00,203729,0.385150232008000
77,667287,TX009000019,Renaissance Oaks_Scattered Sites II,3737 Munger Ave,Dallas,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Dallas,113,TX,48,75204,32.799132999999998,-96.788466999999997,R,TX009,"Housing Authority of the City of Dallas, Texa",77,1/28/2020 0:00:00,638422,0.015824562218200
78,667286,TX282000001,UNNAMED,224 W Levert St,Kirbyville, ,99999,Jasper,241,TX,48,75956,30.657851000000001,-93.896474999999995,R,TX282,Housing Authority of Kirbyville,79,2/5/2020 0:00:00,38807,0.000287983954676
79,667285,TN047000001,WALTON HEIGHTS-HARRIS HOUSE,100 Gardner Dr,Mt Pleasant,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Are",34980,Maury,119,TN,47,38474,35.550815999999998,-87.189732000000006,R,TN047,Mt. Pleasant Housing Authority,86,2/28/2020 0:00:00,451268,0.003336194634390
80,667279,TN004000002,EAST LAKE COURTS,2552 4th Ave,Chattanooga,"Chattanooga, TN-GA Metropolitan Statistical Area",16860,Hamilton,65,TN,47,37407,35.014114999999997,-85.281487999999996,R,TN004,Chattanooga Housing Authority,91,2/13/2020 0:00:00,203769,0.003086757016070
81,667277,TN004000029,THE VILLAGES AT ALTON PARK,288 Water St,Chattanooga,"Chattanooga, TN-GA Metropolitan Statistical Area",16860,Hamilton,65,TN,47,37410,35.007413999999997,-85.313970999999995,R,TN004,Chattanooga Housing Authority,95,2/11/2020 0:00:00,204104,0.004034270774670
82,667276,TN007000140,EAST POINTE,504 Daugherty St,Jackson,"Jackson, TN Metropolitan Statistical Area",27180,Madison,113,TN,47,38301,35.604818000000002,-88.792416000000003,R,TN007,Jackson Housing Authority,97,2/5/2020 0:00:00,38009,0.002490225314170
83,667274,TX004000016,BUTLER PLACE APARTMENTS,3014A N Nichols St,Fort Worth,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Tarrant,439,TX,48,76106,32.798741000000000,-97.340795000000000,4,TX004,Housing Authority of Fort Worth,84,2/4/2020 0:00:00,670664,0.002849209138660
84,667272,TN072000001,REWODA HEIGHTS,115 Hazel Dr Apt,South Carthage,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Are",34980,Smith,159,TN,47,37030,36.240200000000002,-85.957200000000000,4,TN072,South Carthage Housing Authority,78,2/7/2020 0:00:00,129208,0.005479261732590
85,667268,TX004000003,CAVILE PLACE APARTMENTS,1501 Amanda Ave,Fort Worth,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,Tarrant,439,TX,48,76105,32.728994000000000,-97.249685999999997,R,TX004,Housing Authority of Fort Worth,88,2/24/2020 0:00:00,674263,0.010791553128500
86,667267,TN029000002,Ridgeview Apartments,415 E Bledsoe St Apt,Gallatin,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Are",34980,Sumner,165,TN,47,37066,36.388145999999999,-86.438016000000005,4,TN029,Gallatin Housing Authority,86,2/6/2020 0:00:00,471407,0.000771268363285
87,667266,TN004000022,GATEWAY TOWERS,1100 Gateway Ave,Chattanooga,"Chattanooga, TN-GA Metropolitan Statistical Area",16860,Hamilton,65,TN,47,37402,35.045721999999998,-85.319378999999998,R,TN004,Chattanooga Housing Authority,97,2/18/2020 0:00:00,204270,0.006159821436020
88,667264,TN039000007,HIGHLAND COURT I,516A Highland Ct,Shelbyville,"Shelbyville, TN Micropolitan Statistical Area",43180,Bedford,3,TN,47,37160,35.482351999999999,-86.449466999999999,4,TN039,Shelbyville Housing Authority,90,2/5/2020 0:00:00,33309,0.008093781049610
89,667263,TN065000001,MARYVILLE HOUSING AUTHORITY,135 W Broadway Ave,Maryville,"Knoxville, TN Metropolitan Statistical Area",28940,Blount,9,TN,47,37801,35.755754000000003,-83.971202000000005,R,TN065,Maryville Housing Authority,90,2/13/2020 0:00:00,100747,0.000623467170213
90,667260,SC035072006,BETHLEHEM COMM PROJECT,904A Suber Dr,Newberry,"Newberry, SC Micropolitan Statistical Area",35140,Newberry,71,SC,45,29108,34.280731000000003,-81.633840000000006,4,SC035,HOUSING AUTHORITY OF NEWBERRY,60,2/4/2020 0:00:00,186070,0.009678079527840
91,667259,TN004000021,CROMWELL HILLS APTS,3930 Dahlia St,Chattanooga,"Chattanooga, TN-GA Metropolitan Statistical Area",16860,Hamilton,65,TN,47,37421,35.058790999999999,-85.210554000000002,R,TN004,Chattanooga Housing Authority,92,2/10/2020 0:00:00,204071,0.002153613929310
