"","DEVELOPMENT_ID","DEVELOPMENT_NAME","CBSA_CODE","COUNTY_NAME","COUNTY_CODE","STATE_NAME.x","STATE_CODE","ZIPCODE","LATITUDE","LONGITUDE","PHA_CODE","INSPECTION_SCORE","year","TRACT_2010","TRACT_2020","BLOCK_2010","BLOCK_2020","tract","block","block_group","FloodDistM","in_floodplain","age_c","total_pop_c","total_white_c","total_black_c","total_hispanic_c","poverty_c","income_c","public_assistance_c","owner_c","renter_c","vehicles_c","prop_value_c"
"1561","AR148000001","ENGLAND",30780,"Lonoke",85,"AR",5,72046,34.538561,-91.970954,"AR148",72,2017,5085020700,5085020700,50850207003054,50850207003053,5085020700,50850207003054,50850207003,10891.93499,0,36.1,2975,2028,873,27,719,41929,1121,629,492,1121,110600
"1562","AR064000003","EARLE",32820,"Crittenden",35,"AR",5,72331,35.272429,-90.45809,"AR064",90,2017,5035031100,5035031100,50350311002026,50350311002024,5035031100,50350311002026,50350311002,17.25529672,0,40.7,2328,508,1698,16,571,29350,980,618,362,980,70500
"1563","AR091000001","OLA",40780,"Yell",149,"AR",5,72853,35.028349,-93.227118,"AR091",72,2017,5149952500,5149952500,51499525003081,51499525003073,5149952500,51499525003081,51499525003,319.1354977,0,36.2,4402,2878,40,1279,1068,37231,1491,904,587,1491,83700
"1564","AR039000001","WYNNE",99999,"Cross",37,"AR",5,72396,35.223124,-90.79832,"AR039",92,2017,5037950500,5037950500,50379505003011,50379505002010,5037950500,50379505003011,50379505003,27098.91309,0,34.1,4507,2307,2165,7,1152,28349,1712,869,843,1712,61000
"1565","AR045000001","PIKE COUNTY",99999,"Pike",109,"AR",5,71958,34.056003,-93.691687,"AR045",86,2017,5109953500,5109953500,51099535003125,51099535003062,5109953500,51099535003125,51099535003,15874.90988,0,41.6,4724,4147,236,199,1316,35298,1913,1401,512,1913,74900
"1566","AR037000001","NORTH TERRACE ADDITION",26260,"Nevada",99,"AR",5,71857,33.802224,-93.370686,"AR037",65,2017,5099090200,5099090200,50990902003173,50990902003168,5099090200,50990902003173,50990902003,19808.43687,0,41.8,4280,2524,1601,31,1096,42513,1641,1103,538,1641,65700
"1567","AR098000001","MC RAE",42620,"White",145,"AR",5,72102,35.116421,-91.820961,"AR098",90,2017,5145071100,5145071102,51450711003068,51450711022053,5145071100,51450711003068,51450711003,8729.672058,0,38.8882352941176,3672.57352941176,2261.75,1076.33823529412,221.411764705882,904.367647058824,33324.8235294118,1423.27941176471,825,598.279411764706,1423.27941176471,81427.9411764706
"1568","AR032000001","PARIS",99999,"Logan",83,"AR",5,72855,35.300135,-93.729873,"AR032",95,2017,5083950300,5083950300,50839503002027,50839503002020,5083950300,50839503002027,50839503002,438.5887282,0,45.6,3586,2948,255,26,896,30951,1501,941,560,1501,84300
"1569","AR040000001","DES ARC",99999,"Prairie",117,"AR",5,72040,34.9775,-91.528,"AR040",66,2017,5117460100,5117460100,51174601004005,51174601004005,5117460100,51174601004005,51174601004,31248.48848,0,49.1,3556,3111,370,3,1078,41070,1689,1221,468,1689,67800
"1570","AR022000001","SEVIER COUNTY",99999,"Sevier",133,"AR",5,71842,33.9524,-94.3682,"AR022",66,2017,5133080200,5133080200,51330802001016,51330802001029,5133080200,51330802001016,51330802001,31321.62376,0,35.4,4525,2841,259,1303,1233,44094,1650,1266,384,1650,56500
"1571","AR041000001","LONOKE COUNTY/CARLISLE",30780,"Lonoke",85,"AR",5,72024,34.786417,-91.749012,"AR041",91,2017,5085020400,5085020400,50850204001091,50850204001072,5085020400,50850204001091,50850204001,32828.86949,0,45.5,2767,2299,405,46,769,46652,1091,752,339,1091,89600
"1572","AR068000001","Vander Lloyd Memorial Homes",26260,"Hempstead",57,"AR",5,71801,33.661193,-93.598291,"AR068",59,2017,5057480500,5057480500,50574805003027,50574805003026,5057480500,50574805003027,50574805003,580.9251306,0,33.6,5002,1537,2504,868,1034,28429,1722,771,951,1722,72000
"1573","AR029000001","VAN BUREN",22900,"Crawford",33,"AR",5,72956,35.432972,-94.340438,"AR029",88,2017,5033020502,5033020502,50330205024006,50330205024007,5033020502,50330205024006,50330205024,90.74345286,0,37.3,4574,3578,141,486,1151,25589,1879,799,1080,1879,69200
"1574","AR052000001","CLARENDON",99999,"Monroe",95,"AR",5,72029,34.698359,-91.3062,"AR052",89,2017,5095950200,5095950200,50959502001105,50959502001059,5095950200,50959502001105,50959502001,30179.3015,0,45.1,2224,1466,649,67,566,27056,1025,598,427,1025,51600
"1575","AR025000001","HOWARD COUNTY",99999,"Howard",61,"AR",5,71852,33.934098,-93.845962,"AR025",76,2017,5061950300,5061950300,50619503004040,50619503004015,5061950300,50619503004040,50619503004,964.074184,0,35.4,4731,2209,1543,831,1190,29493,1890,947,943,1890,87700
"1576","AR047000001","TRIVA APTS.",99999,"Lawrence",75,"AR",5,72433,36.049976,-90.977052,"AR047",86,2017,5075470501,5075470501,50754705013055,50754705013061,5075470501,50754705013055,50754705013,59.1805785,0,38.8,2589,2464,9,83,630,26674,1123,654,469,1123,65600
"1577","AR059000001","BRINKLEY",99999,"Monroe",95,"AR",5,72021,34.877713,-91.187257,"AR059",60,2017,5095950100,5095950100,50959501001046,50959501001022,5095950100,50959501001046,50959501001,41462.09304,0,44.7,3315,1482,1591,122,867,29744,1446,765,681,1446,50400
"1578","AR066000001","Russellville",40780,"Pope",115,"AR",5,72801,35.277195,-93.139041,"AR066",63,2017,5115951400,5115951400,51159514001088,51159514001080,5115951400,51159514001088,51159514001,5116.303703,0,20.9,5150,4070,549,166,540,32000,1084,354,730,1084,120200
"1579","AR106000001","BEEBE",42620,"White",145,"AR",5,72012,35.064389,-91.873179,"AR106",91,2017,5145071200,5145071202,51450712002033,51450712022028,5145071200,51450712002033,51450712002,1689.146912,0,38.8882352941176,3672.57352941176,2261.75,1076.33823529412,221.411764705882,904.367647058824,33324.8235294118,1423.27941176471,825,598.279411764706,1423.27941176471,81427.9411764706
"1580","AR053000001","MC GEHEE",99999,"Desha",41,"AR",5,71654,33.613751,-91.391668,"AR053",70,2017,5041950400,5041950400,50419504003024,50419504003019,5041950400,50419504003024,50419504003,0,1,34.2,2707,966,1648,71,706,20308,1153,512,641,1153,63100
"1581","AR075000001","LEACHVILLE",14180,"Mississippi",93,"AR",5,72438,35.932962,-90.251898,"AR075",90,2017,5093010800,5093010801,50930108003012,50930108012012,5093010800,50930108003012,50930108003,32094.88272,0,38.8882352941176,3672.57352941176,2261.75,1076.33823529412,221.411764705882,904.367647058824,33324.8235294118,1423.27941176471,825,598.279411764706,1423.27941176471,81427.9411764706
"1582","AR071000002","Woodmont Manor",12900,"Independence",63,"AR",5,72501,35.762815,-91.611431,"AR071",99,2017,5063490500,5063490500,50634905001002,50634905001006,5063490500,50634905001002,50634905001,1410.590536,0,44.7,2762,2669,30,17,761,66094,1145,865,280,1145,165300
"1583","AR073000001","SPARKMAN",99999,"Dallas",39,"AR",5,71763,33.919191,-92.843861,"AR073",74,2017,5039970200,5039970200,50399702002256,50399702002180,5039970200,50399702002256,50399702002,28266.74019,0,52.6,1796,1427,219,114,510,36979,746,653,93,746,61800
"1584","AR090000001","JUDSONIA",42620,"White",145,"AR",5,72081,35.279854,-91.636799,"AR090",91,2017,5145070500,5145070502,51450705003036,51450705022054,5145070500,51450705003036,51450705003,3112.490965,0,38.8882352941176,3672.57352941176,2261.75,1076.33823529412,221.411764705882,904.367647058824,33324.8235294118,1423.27941176471,825,598.279411764706,1423.27941176471,81427.9411764706
"1585","AR095000001","DECATUR",22220,"Benton",7,"AR",5,72722,36.329766,-94.460837,"AR095",71,2017,5007021002,5007021003,50070210021040,50070210031044,5007021002,50070210021040,50070210021,25513.14057,0,38.8882352941176,3672.57352941176,2261.75,1076.33823529412,221.411764705882,904.367647058824,33324.8235294118,1423.27941176471,825,598.279411764706,1423.27941176471,81427.9411764706
"1586","AR123000001","AUGUSTA HOUSING AUTHORITY",99999,"Woodruff",147,"AR",5,72006,35.27962,-91.360961,"AR123",65,2017,5147490200,5147490200,51474902002087,51474902002039,5147490200,51474902002087,51474902002,10678.00512,0,45.8,2901,1634,1200,17,713,29489,1231,735,496,1231,64200
"1587","AR141000001","EHEMANN/TOWNHILL",40780,"Pope",115,"AR",5,72823,35.243666,-92.94317,"AR141",69,2017,5115951100,5115951100,51159511001001,51159511001001,5115951100,51159511001001,51159511001,18837.80922,0,35.9,4127,3977,39,28,1005,40294,1540,1051,489,1540,88200
"1588","AR043000001","GILL COURT/REID COURT",99999,"Desha",41,"AR",5,71639,33.886521,-91.495231,"AR043",88,2018,5041950300,5041950300,50419503001003,50419503001003,5041950300,50419503001003,50419503001,610.0990699,0,42.4,1426,132,1222,72,407,25452,657,291,366,657,33400
"1589","AR078000001","DELL",14180,"Mississippi",93,"AR",5,72426,35.8704,-89.9342,"AR078",68,2017,5093010700,5093010700,50930107002004,50930107002012,5093010700,50930107002004,50930107002,9830.511055,0,36.9,4210,3714,137,119,1181,49951,1612,1169,443,1612,98900
"1590","AR061000001","HUGHES",22620,"St. Francis",123,"AR",5,72348,34.948131,-90.461984,"AR061",88,2017,5123960100,5123960100,51239601002004,51239601002002,5123960100,51239601002004,51239601002,11868.10139,0,41.5,2811,1068,1680,20,713,22316,1209,684,525,1209,48200
"1591","AR074000001","SALEM",99999,"Fulton",49,"AR",5,72576,36.373681,-91.834147,"AR074",58,2017,5049550200,5049550201,50495502006042,50495502013029,5049550200,50495502006042,50495502006,24438.57321,0,38.8882352941176,3672.57352941176,2261.75,1076.33823529412,221.411764705882,904.367647058824,33324.8235294118,1423.27941176471,825,598.279411764706,1423.27941176471,81427.9411764706
"1592","AR065000001","ROSE TERRACE",15780,"Ouachita",103,"AR",5,71764,33.406881,-93.07413,"AR065",62,2018,5103950300,5103950302,51039503005080,51039503021037,5103950300,51039503005080,51039503005,19053.23544,0,37.5704545454545,3353.52272727273,1534.61363636364,1607.31818181818,136.795454545455,766.090909090909,30015.9069767442,1298.20454545455,636.159090909091,662.045454545455,1298.20454545455,78781.8181818182
"1593","AR082000001","WARREN",99999,"Bradley",11,"AR",5,71671,33.608896,-92.077346,"AR082",67,2017,5011950300,5011950300,50119503001003,50119503001003,5011950300,50119503001003,50119503001,23124.38085,0,46,2115,1218,715,170,532,35865,889,594,295,889,84500
"1594","AR005000001","CLEARLAKE/EAST ROSE",14180,"Mississippi",93,"AR",5,72315,35.919907,-89.893727,"AR005",84,2018,5093010200,5093010200,50930102004020,50930102004017,5093010200,50930102004020,50930102004,9850.912659,0,32.7,6072,1789,4190,93,1590,44286,2282,1127,1155,2282,82600
"1595","AR097000001","Hillcrest Towers/ Lewis Plaza/Willow Hts",22220,"Washington",143,"AR",5,72701,36.062768,-94.164527,"AR097",68,2018,5143011300,5143011302,51430113001006,51430113021007,5143011300,51430113001006,51430113001,42388.87063,0,37.5704545454545,3353.52272727273,1534.61363636364,1607.31818181818,136.795454545455,766.090909090909,30015.9069767442,1298.20454545455,636.159090909091,662.045454545455,1298.20454545455,78781.8181818182
"1596","AR002000007","WILLOW HOUSE",30780,"Pulaski",119,"AR",5,72114,34.777233,-92.270876,"AR002",63,2018,5119002900,5119002900,51190029002007,51190029001013,5119002900,51190029002007,51190029002,33551.61691,0,41.9,1059,175,840,11,216,18922,537,203,334,537,61900
"1597","AR002000001","SILVER CITY COURTS",30780,"Pulaski",119,"AR",5,72114,34.772387,-92.275805,"AR002",69,2018,5119003002,5119003002,51190030022020,51190030022027,5119003002,51190030022020,51190030022,33179.28879,0,36.6,3021,730,2242,16,709,17025,1354,294,1060,1354,88900
"1598","AR002000003","EASTGATE TERRACE",30780,"Pulaski",119,"AR",5,72114,34.771676,-92.260746,"AR002",77,2018,5119002800,5119002800,51190028001006,51190028002037,5119002800,51190028001006,51190028001,32683.86489,0,24.4,2507,29,2102,147,586,10584,860,245,615,860,59800
"1599","AR002000004","WINDEMERE HILLS",30780,"Pulaski",119,"AR",5,72114,34.77354,-92.286208,"AR002",84,2018,5119003002,5119003002,51190030021034,51190030021029,5119003002,51190030021034,51190030021,33619.39176,0,36.6,3021,730,2242,16,709,17025,1354,294,1060,1354,88900
"1600","AR012000001","CARPENTER HILL HOMES",11660,"Clark",19,"AR",5,71923,34.11502,-93.05348,"AR012",64,2018,5019953800,5019953800,50199538001043,50199538003083,5019953800,50199538001043,50199538001,25.68784367,0,35.5,3747,1966,1414,175,991,35912,1642,862,780,1642,93300
"1601","AR002000005","HERITAGE HOUSE",30780,"Pulaski",119,"AR",5,72114,34.776964,-92.282943,"AR002",73,2018,5119003002,5119003002,51190030021030,51190030021024,5119003002,51190030021030,51190030021,33877.22625,0,36.6,3021,730,2242,16,709,17025,1354,294,1060,1354,88900
"1602","AR044000001","WALDRON",99999,"Scott",127,"AR",5,72958,34.89138,-94.095534,"AR044",82,2018,5127950200,5127950200,51279502002045,51279502002022,5127950200,51279502002045,51279502002,27850.53698,0,34,4221,3610,4,471,1012,28611,1556,862,694,1556,70900
"1603","AR026000001","BRIDEWILL MANOR",99999,"Conway",29,"AR",5,72110,35.152165,-92.754308,"AR026",59,2018,5029950400,5029950400,50299504001038,50299504001026,5029950400,50299504001038,50299504001,36117.64682,0,38.8,2237,1642,355,186,577,41250,931,504,427,931,95000
"1604","AR060000001","WEST HELENA",25760,"Phillips",107,"AR",5,72390,34.539278,-90.647323,"AR060",57,2018,5107480500,5107480500,51074805003000,51074805001000,5107480500,51074805003000,51074805003,301.4431447,0,39.5,1780,189,1579,0,340,20731,805,223,582,805,65000
"1605","AR094000001","GLOSTER COURT",31680,"Hot Spring",59,"AR",5,72104,34.354764,-92.793009,"AR094",65,2018,5059020400,5059020400,50590204005055,50590204005027,5059020400,50590204005055,50590204005,1057.436309,0,41.3,5497,3973,1168,178,1502,29980,2457,1536,921,2457,86600
"1606","AR099000001","LINDEN HEIGHTS",22620,"St. Francis",123,"AR",5,72335,34.995993,-90.77866,"AR099",87,2018,5123960600,5123960600,51239606005014,51239606001004,5123960600,51239606005014,51239606005,37295.37898,0,38.3,7531,2054,4839,403,1091,37448,1468,880,588,1468,56600
"1607","AR117000017","POLK COUNTY/WICKES/COVE/HATFIELD",99999,"Polk",113,"AR",5,71953,34.582672,-94.238742,"AR117",79,2018,5113950200,5113950201,51139502005040,51139502012036,5113950200,51139502005040,51139502005,34913.36268,0,37.5704545454545,3353.52272727273,1534.61363636364,1607.31818181818,136.795454545455,766.090909090909,30015.9069767442,1298.20454545455,636.159090909091,662.045454545455,1298.20454545455,78781.8181818182
"1608","AR046000001","PROF. SAMUEL M. SAMSON CT",11660,"Clark",19,"AR",5,71921,34.265307,-93.464793,"AR046",91,2018,5019953700,5019953700,50199537001133,50199537001074,5019953700,50199537001133,50199537001,37860.43467,0,43.2,4176,3789,211,135,1253,48596,1739,1427,312,1739,84900
"1609","AR028000001","NEWPORT",99999,"Jackson",67,"AR",5,72112,35.613343,-91.259852,"AR028",77,2018,5067480300,5067480300,50674803004010,50674803004007,5067480300,50674803004010,50674803004,281.3765382,0,37.1,3615,2649,700,186,842,29625,1606,858,748,1606,86400
"1610","AR002000002","HEMLOCK COURTS",30780,"Pulaski",119,"AR",5,72114,34.757173,-92.238093,"AR002",64,2018,5119002800,5119002800,51190028002032,51190028001033,5119002800,51190028002032,51190028002,30574.48841,0,24.4,2507,29,2102,147,586,10584,860,245,615,860,59800
"1611","AR050000001","HELENA",25760,"Phillips",107,"AR",5,72342,34.523838,-90.59024,"AR050",53,2019,5107480400,5107480400,51074804003036,51074804003038,5107480400,51074804003036,51074804003,170.5924539,0,36.7,1564,361,1199,0,316,14363,622,174,448,622,57000
"1612","AR004000028","Granite Mountain Senior",30780,"Pulaski",119,"AR",5,72206,34.6952,-92.2526,"AR004",86,2019,5119004001,5119004001,51190040013027,51190040013037,5119004001,51190040013027,51190040013,24343.17126,0,39,2023,309,1659,20,477,28155,789,457,332,789,80300
"1613","AR038000001","BOONEVILLE",99999,"Logan",83,"AR",5,72927,35.142626,-93.930222,"AR038",93,2019,5083950500,5083950500,50839505002028,50839505002022,5083950500,50839505002028,50839505002,1665.829312,0,36.5,4049,3578,9,242,910,36806,1504,815,689,1504,85100
"1614","AR102000001","COAL HILL",99999,"Johnson",71,"AR",5,72832,35.433792,-93.681976,"AR102",96,2014,5071951800,5071951800,50719518002081,50719518002078,5071951800,50719518002081,50719518002,3498.842468,0,38.5,4637,4339,0,133,1241,28024,1823,1348,475,1823,62500
"1615","AR117000017","POLK COUNTY/WICKES/COVE/HATFIELD",99999,"Polk",113,"AR",5,71953,34.582672,-94.238742,"AR117",90,2015,5113950200,5113950201,51139502005040,51139502012036,5113950200,51139502005040,51139502005,34913.36268,0,37.636170212766,3664.25531914894,1953.29787234043,1447.08510638298,189.425531914894,894.63829787234,30407.5531914894,1418.10638297872,790.553191489362,627.553191489362,1418.10638297872,74085.1063829787
"1616","AR093000001","HICKORY RIDGE",99999,"Cross",37,"AR",5,72347,35.406343,-90.99745,"AR093",93,2015,5037950300,5037950300,50379503001088,50379503001019,5037950300,50379503001088,50379503001,18993.95099,0,45.3,1367,1353,0,2,440,37963,622,492,130,622,62000
"1617","AR026000001","BRIDEWILL MANOR",99999,"Conway",29,"AR",5,72110,35.152165,-92.754308,"AR026",86,2015,5029950400,5029950400,50299504001038,50299504001026,5029950400,50299504001038,50299504001,36117.64682,0,36.2,2176,1768,235,136,521,29239,862,524,338,862,87300
"1618","AR171000001","DR. CHARLES HALL HOMES",22900,"Sebastian",131,"AR",5,72936,35.208715,-94.262278,"AR171",81,2015,5131010202,5131010202,51310102021041,51310102022031,5131010202,51310102021041,51310102021,15890.50688,0,31.8,3686,3583,7,18,966,46192,1288,829,459,1288,121300
"1619","AR081000001","CARTHAGE",99999,"Dallas",39,"AR",5,71725,34.073301,-92.556408,"AR081",92,2015,5039970100,5039970100,50399701002373,50399701002102,5039970100,50399701002373,50399701002,28205.9303,0,47.1,1458,719,649,64,418,42917,620,488,132,620,58800
"1620","AR042000001","STAR CITY",38220,"Lincoln",79,"AR",5,71667,33.938089,-91.844972,"AR042",89,2015,5079960500,5079960500,50799605002042,50799605002041,5079960500,50799605002042,50799605002,24150.69084,0,35.3,2573,2028,472,60,649,30284,935,579,356,935,84200
"1621","AR034000001","TRUMANN",27860,"Poinsett",111,"AR",5,72472,35.672203,-90.504109,"AR034",83,2016,5111490300,5111490300,51114903001003,51114903001004,5111490300,51114903001003,51114903001,14117.48173,0,33.7,3406,2906,207,231,773,22219,1430,504,926,1430,54900
"1622","AR060000001","WEST HELENA",25760,"Phillips",107,"AR",5,72390,34.539278,-90.647323,"AR060",76,2016,5107480500,5107480500,51074805003000,51074805001000,5107480500,51074805003000,51074805003,301.4431447,0,25.2,2303,323,1943,0,521,15046,918,282,636,918,47000
"1623","AR004000028","Granite Mountain Senior",30780,"Pulaski",119,"AR",5,72206,34.6952,-92.2526,"AR004",97,2016,5119004001,5119004001,51190040013027,51190040013037,5119004001,51190040013027,51190040013,24343.17126,0,33.7,2705,323,2276,73,680,24838,1025,586,439,1025,63900
"1624","AR097000001","Hillcrest Towers/ Lewis Plaza/Willow Hts",22220,"Washington",143,"AR",5,72701,36.062768,-94.164527,"AR097",89,2016,5143011300,5143011302,51430113001006,51430113021007,5143011300,51430113001006,51430113001,42388.87063,0,36.9514285714286,3130.65714285714,1855.68571428571,1071.11428571429,122.514285714286,697.885714285714,28854.4571428571,1141.77142857143,627.628571428571,514.142857142857,1141.77142857143,69237.1428571429
"1625","AR017000001","HALLMARK MANOR",38220,"Jefferson",69,"AR",5,71602,34.233754,-92.052573,"AR017",90,2016,5069001401,5069001401,50690014011006,50690014011003,5069001401,50690014011006,50690014011,0,1,26.5,1729,260,1469,0,405,28949,629,236,393,629,37200
"1626","AR015000001","PINEHURST VILLAGE",45500,"Miller",91,"AR",5,71854,33.426159,-94.02276,"AR015",82,2016,5091020600,5091020600,50910206003010,50910206003008,5091020600,50910206003010,50910206003,0,1,32.3,2142,441,1518,139,475,20343,825,288,537,825,45100
"1627","AR072000001","PARKIN",99999,"Cross",37,"AR",5,72373,35.267203,-90.556512,"AR072",75,2016,5037950100,5037950100,50379501001160,50379501001161,5037950100,50379501001160,50379501001,4751.959861,0,50.4,1367,557,786,0,336,20518,615,367,248,615,56300
"1628","AR083000001","GOULD",38220,"Lincoln",79,"AR",5,71643,33.984066,-91.561706,"AR083",98,2016,5079960600,5079960600,50799606002299,50799606003094,5079960600,50799606002299,50799606002,256.9164456,0,36.7,6137,2627,3285,185,418,25417,741,440,301,741,60000
"1629","AR096000001","CHITWOOD APTS.",22900,"Crawford",33,"AR",5,72921,35.477906,-94.211479,"AR096",58,2016,5033020600,5033020602,50330206006003,50330206026008,5033020600,50330206006003,50330206006,48.48273293,0,36.9514285714286,3130.65714285714,1855.68571428571,1071.11428571429,122.514285714286,697.885714285714,28854.4571428571,1141.77142857143,627.628571428571,514.142857142857,1141.77142857143,69237.1428571429
"1630","AR044000001","WALDRON",99999,"Scott",127,"AR",5,72958,34.89138,-94.095534,"AR044",73,2016,5127950200,5127950200,51279502002045,51279502002022,5127950200,51279502002045,51279502002,27850.53698,0,34.7,4241,3422,3,537,1083,27813,1536,811,725,1536,66800
"1631","AR012000001","CARPENTER HILL HOMES",11660,"Clark",19,"AR",5,71923,34.11502,-93.05348,"AR012",83,2016,5019953800,5019953800,50199538001043,50199538003083,5019953800,50199538001043,50199538001,25.68784367,0,35.4,3740,2181,1113,247,996,35103,1614,948,666,1614,91900
"1632","AR079000001","HOUSING AUTHORITY OF THE CITY OF LUXORA",14180,"Mississippi",93,"AR",5,72358,35.753828,-89.928829,"AR079",98,2016,5093010900,5093010900,50930109002020,50930109002024,5093010900,50930109002020,50930109002,208.5493585,0,34.2,2225,1364,674,116,534,28388,763,354,409,763,58800
"1633","AR046000001","PROF. SAMUEL M. SAMSON CT",11660,"Clark",19,"AR",5,71921,34.26626,-93.464783,"AR046",98,2016,5019953700,5019953700,50199537001133,50199537001074,5019953700,50199537001133,50199537001,37903.66511,0,43,4380,3833,380,42,1239,37339,1854,1421,433,1854,69700
"1634","AR092000001","CARAWAY",27860,"Craighead",31,"AR",5,72419,35.756364,-90.326682,"AR092",83,2016,5031001000,5031001000,50310010004075,50310010004047,5031001000,50310010004075,50310010004,11514.34132,0,40.5,3930,3665,27,189,1058,45050,1545,1034,511,1545,73900
"1635","AR076000001","MOUNT IDA",99999,"Montgomery",97,"AR",5,71957,34.5425,-93.644,"AR076",89,2017,5097953000,5097953000,50979530003015,50979530002034,5097953000,50979530003015,50979530003,56269.88961,0,53.8,3220,2967,26,83,926,41223,1438,1174,264,1438,121700
"1636","AR016000003","Ivery Heights Riverside",15780,"Ouachita",103,"AR",5,71701,33.580142,-92.831499,"AR016",73,2017,5103950600,5103950600,51039506002019,51039506002014,5103950600,51039506002019,51039506002,484.9982745,0,39.4,4150,1302,2497,313,960,17077,1667,675,992,1667,65000
"1637","AR094000001","GLOSTER COURT",31680,"Hot Spring",59,"AR",5,72104,34.355116,-92.792945,"AR094",94,2017,5059020400,5059020400,50590204005055,50590204005027,5059020400,50590204005055,50590204005,1076.167361,0,37.4,5420,3846,1159,320,1380,30326,2430,1409,1021,2430,81400
"1638","AR016000001","Fortlookout Lincoln Center",15780,"Ouachita",103,"AR",5,71701,33.595828,-92.831336,"AR016",59,2017,5103950400,5103950400,51039504001005,51039504001013,5103950400,51039504001005,51039504001,154.0987436,0,33.2,3425,1401,1884,78,782,28304,1355,658,697,1355,77900
"1639","AR146000001","KENSETT",42620,"White",145,"AR",5,72082,35.22997,-91.664643,"AR146",84,2017,5145071100,5145071101,51450711004020,51450711012048,5145071100,51450711004020,51450711004,2232.984439,0,38.8882352941176,3672.57352941176,2261.75,1076.33823529412,221.411764705882,904.367647058824,33324.8235294118,1423.27941176471,825,598.279411764706,1423.27941176471,81427.9411764706
"1640","AR099000001","LINDEN HEIGHTS",22620,"St. Francis",123,"AR",5,72335,34.995993,-90.77866,"AR099",78,2017,5123960600,5123960600,51239606005014,51239606001004,5123960600,51239606005014,51239606005,37295.37898,0,38,7480,2005,4842,456,1042,31806,1499,882,617,1499,58100
"1641","AR038000001","BOONEVILLE",99999,"Logan",83,"AR",5,72927,35.142643,-93.93056,"AR038",87,2017,5083950500,5083950500,50839505002028,50839505002022,5083950500,50839505002028,50839505002,1655.87025,0,36.4,4045,3630,6,409,992,32368,1572,825,747,1572,91600
"1642","AR035000001","SEARCY",42620,"White",145,"AR",5,72143,35.245051,-91.740809,"AR035",93,2017,5145070900,5145070901,51450709005017,51450709013014,5145070900,51450709005017,51450709005,104.3331644,0,38.8882352941176,3672.57352941176,2261.75,1076.33823529412,221.411764705882,904.367647058824,33324.8235294118,1423.27941176471,825,598.279411764706,1423.27941176471,81427.9411764706
"1643","AR004000019","Madison Heights II",30780,"Pulaski",119,"AR",5,72204,34.739172,-92.327824,"AR004",87,2017,5119001800,5119001800,51190018003004,51190018002004,5119001800,51190018003004,51190018003,31716.85384,0,37.7,4343,588,3656,21,923,32267,1755,882,873,1755,76400
"1644","AR004000018","Madison Heights Phase I",30780,"Pulaski",119,"AR",5,72204,34.740136,-92.326468,"AR004",82,2017,5119001800,5119001800,51190018003001,51190018002001,5119001800,51190018003001,51190018003,31750.93526,0,37.7,4343,588,3656,21,923,32267,1755,882,873,1755,76400
"1645","AR064000003","EARLE",32820,"Crittenden",35,"AR",5,72331,35.272446,-90.457744,"AR064",90,2017,5035031100,5035031100,50350311002026,50350311002024,5035031100,50350311002026,50350311002,23.56378461,0,40.7,2328,508,1698,16,571,29350,980,618,362,980,70500
"1646","AR050000001","HELENA",25760,"Phillips",107,"AR",5,72342,34.523838,-90.59024,"AR050",36,2017,5107480400,5107480400,51074804003036,51074804003038,5107480400,51074804003036,51074804003,170.5924539,0,29.6,1831,312,1446,14,332,19118,624,162,462,624,49200
"1647","AR045000001","PIKE COUNTY",99999,"Pike",109,"AR",5,71958,34.056002,-93.69168,"AR045",86,2017,5109953500,5109953500,51099535003125,51099535003062,5109953500,51099535003125,51099535003,15875.41547,0,41.6,4724,4147,236,199,1316,35298,1913,1401,512,1913,74900
"1648","AR015000004","BRAMBLE COURTS",45500,"Miller",91,"AR",5,71854,33.412588,-94.026113,"AR015",86,2017,5091020500,5091020500,50910205001031,50910205001031,5091020500,50910205001031,50910205001,911.4017896,0,39.2,2704,1282,892,168,612,24348,914,600,314,914,43000
"1649","AR027000001","MARIANNA",99999,"Lee",77,"AR",5,72360,34.7671,-90.7803,"AR027",38,2017,5077470300,5077470300,50774703004034,50774703004028,5077470300,50774703004034,50774703004,19237.43526,0,37.8,4067,1001,2995,7,1003,19807,1709,745,964,1709,68700
"1650","AR098000001","MC RAE",42620,"White",145,"AR",5,72102,35.116432,-91.820935,"AR098",90,2017,5145071100,5145071102,51450711003068,51450711022053,5145071100,51450711003068,51450711003,8732.250864,0,38.8882352941176,3672.57352941176,2261.75,1076.33823529412,221.411764705882,904.367647058824,33324.8235294118,1423.27941176471,825,598.279411764706,1423.27941176471,81427.9411764706
"1651","AR002000001","SILVER CITY COURTS",30780,"Pulaski",119,"AR",5,72114,34.772387,-92.275805,"AR002",41,2017,5119003002,5119003002,51190030022020,51190030022027,5119003002,51190030022020,51190030022,33179.28879,0,34.1,3255,772,2418,19,739,14375,1391,313,1078,1391,96400
"1652","AR002000003","EASTGATE TERRACE",30780,"Pulaski",119,"AR",5,72114,34.771676,-92.260746,"AR002",62,2017,5119002800,5119002800,51190028001006,51190028002037,5119002800,51190028001006,51190028001,32683.86489,0,23.7,2769,31,2302,148,609,10917,934,316,618,934,52500
