"","TRACTFIPS","RISK_RATNG","SOVI_RATNG","RESL_RATNG","CFLD_RISKR","HWAV_RISKR","HRCN_RISKR","RFLD_RISKR","WFIR_RISKR"
"50","15003002800","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","Relatively Low","Insufficient Data"
"51","15003003000","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"52","15003003101","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"53","15003003407","Relatively Low","Very High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"54","15003003501","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"55","15003004600","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"56","15003004700","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"57","15003004800","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"58","15003005200","Relatively Low","Very High","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"59","15003005600","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","No Rating","Insufficient Data"
"60","15003006000","Relatively Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively High","Insufficient Data"
"61","15003006202","Very Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"62","15003006702","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"63","15003006802","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"64","15003006806","Very Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"65","15003006809","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"66","15003007400","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"67","15003007504","Very Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"68","15003007805","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"69","15003007809","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"70","15003008003","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"71","15001020600","Relatively Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Very High","Insufficient Data"
"72","15001021106","Relatively Moderate","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","No Rating","Insufficient Data"
"73","15003000108","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"74","15003008005","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"75","15003008301","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"76","15003008402","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","No Rating","Insufficient Data"
"77","15003008405","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"78","15003008407","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"79","15003000112","Relatively Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"80","15003000302","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"81","15003000901","Very Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"82","15003001201","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","Relatively Low","Insufficient Data"
"83","15003001300","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"84","15003008614","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"85","15003008924","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"86","15003008913","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"87","15003008930","Very Low","Very Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"88","15003008917","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"89","15003008920","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"90","15003009300","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"91","15003001600","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"92","15003001803","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"93","15003002003","Relatively Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"94","15003002201","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"95","15003002300","Relatively Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"96","15003009501","Very Low","Very Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"97","15003009504","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"98","15003009703","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"99","15003009802","Very Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"100","15003002402","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"101","15003002702","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"102","15003002900","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"103","15003003403","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"104","15003980300","Insufficient Data","Data Unavailable","Relatively Low","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data"
"105","15003010505","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"106","15003010601","Very Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"107","15003010904","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"108","15003980000","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"109","15003980200","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"110","15003003404","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"111","15003003502","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","Very Low","Insufficient Data"
"112","15003003601","Relatively Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"113","15003004200","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"114","15003004900","Very Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"115","15003980600","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"116","15003981100","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"117","15007040900","Relatively Low","Relatively Moderate","Relatively Low","Relatively Moderate","No Rating","Very Low","Very High","Insufficient Data"
"118","15009030202","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"119","15009030301","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"120","15009030709","Relatively Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"121","15009030901","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","Relatively Low","Insufficient Data"
"122","15003005500","Very Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"123","15003005400","Very Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"124","15003006100","Relatively Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"125","15003006201","Relatively Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"126","15003006805","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"127","15009031000","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"128","15009031501","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"129","15009032000","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"130","15009980000","Insufficient Data","Data Unavailable","Relatively Low","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data"
"131","15003007702","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"132","15003006900","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"133","15003007506","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"134","15003007808","Relatively Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"135","15003007811","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"136","15003008001","Relatively Low","Very High","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"137","15003008006","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"138","15003008302","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","No Rating","Insufficient Data"
"139","15003008502","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"140","15003008609","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"141","15003008617","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"142","15003008703","Relatively Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"143","15003008906","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"144","15003008912","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"145","15003008923","Relatively Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"146","15003008915","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","Relatively Low","Insufficient Data"
"147","15003008918","Very Low","Very Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"148","15003008928","Very Low","Very Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"149","15003008927","Very Low","Very Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"150","15003009704","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"151","15003009902","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"152","15003009904","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"153","15003010305","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"154","15003010602","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"155","15003010702","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"156","15003010801","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"157","15003010903","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"158","15003011104","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"159","15003011400","Very Low","Very Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"160","15003981300","Insufficient Data","Data Unavailable","Relatively Low","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data"
"161","15003940001","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"162","15003980800","Insufficient Data","Data Unavailable","Relatively Low","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data"
"163","15009030501","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"164","15007940000","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"165","15009030705","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"166","15003981400","Insufficient Data","Data Unavailable","Relatively Low","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data"
"167","15007040104","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"168","15007040800","Very Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"169","15009030708","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"170","15003010303","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"171","15003010306","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"172","15009030710","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"173","15009030903","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"174","15009031103","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"175","15001020400","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"176","15009031404","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"177","15001021502","Relatively Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Very High","Insufficient Data"
"178","15001021507","Relatively Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"179","15001020701","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively High","Insufficient Data"
"180","15001020702","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","Relatively High","Insufficient Data"
"181","15001020900","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Very High","Insufficient Data"
"182","15001021003","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"183","15001021005","Relatively Moderate","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Relatively Low","No Rating","Insufficient Data"
"184","15001021011","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"185","15003000107","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"186","15003000110","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"187","15003000402","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"188","15003000700","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","Relatively Low","Insufficient Data"
"189","15003000600","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"190","15003000903","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"191","15003001000","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"192","15003001700","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"193","15003001801","Relatively Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"194","15003001804","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"195","15003002004","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"196","15003002006","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"197","15003002701","Relatively Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"198","15003003300","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"199","15003003405","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"200","15003003406","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"201","15003003603","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","No Rating","Insufficient Data"
"202","15003003900","Relatively Moderate","Very High","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"203","15003004000","Relatively Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","No Rating","Insufficient Data"
"204","15003004400","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"205","15003004500","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"206","15003005300","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Very Low","Insufficient Data"
"207","15003006302","Very Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"208","15003006401","Very Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"209","15003006402","Very Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"210","15003006500","Very Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"211","15003006701","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"212","15003006804","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"213","15003007000","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"214","15003007100","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","No Rating","Insufficient Data"
"215","15003007302","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Very Low","Insufficient Data"
"216","15003007503","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","Relatively Low","Insufficient Data"
"217","15003007505","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"218","15003007701","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"219","15003007804","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"220","15003007807","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","Very Low","Insufficient Data"
"221","15003007810","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"222","15003008408","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"223","15003008610","Very Low","Very Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"224","15003008606","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"225","15001020500","Relatively Moderate","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Very High","Insufficient Data"
"226","15001020801","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively High","Insufficient Data"
"227","15001020802","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively High","Insufficient Data"
"228","15003000106","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"229","15003000111","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"230","15003008613","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"231","15003008701","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"232","15003008908","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"233","15003008909","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
